Short Name,Long Name,Vendor,WOSO URL,MOSO URL
Maine,University of Maine,Sidearm,https://goblackbears.com/sports/womens-soccer,None
Maryland-Baltimore-County,UMBC,Sidearm,https://umbcretrievers.com/sports/womens-soccer,https://umbcretrievers.com/sports/mens-soccer
Mass.-Lowell,UMass Lowell,Sidearm,https://goriverhawks.com/sports/womens-soccer,https://goriverhawks.com/sports/mens-soccer
New Hampshire,University of New Hampshire,Sidearm,https://unhwildcats.com/sports/womens-soccer,https://unhwildcats.com/sports/mens-soccer
New-Jersey-Tech,New Jersey Institute of Technology,Sidearm,https://njithighlanders.com/sports/womens-soccer,https://njithighlanders.com/sports/mens-soccer
Binghamton,Binghamton University,Sidearm,https://bubearcats.com/sports/womens-soccer,https://bubearcats.com/sports/mens-soccer
Bryant,Bryant University,Sidearm,https://bryantbulldogs.com/sports/womens-soccer,https://bryantbulldogs.com/sports/mens-soccer
Vermont,University of Vermont,Sidearm,https://uvmathletics.com/sports/womens-soccer,https://uvmathletics.com/sports/mens-soccer
UAB,UAB,Sidearm,https://uabsports.com/sports/womens-soccer,https://uabsports.com/sports/mens-soccer
Florida Atlantic,Florida Atlantic University,Sidearm,https://fausports.com/sports/womens-soccer,https://fausports.com/sports/mens-soccer
South Fla.,University of South Florida,Sidearm,https://gousfbulls.com/sports/womens-soccer,https://gousfbulls.com/sports/mens-soccer
Wichita St.,Wichita State University,Sidearm,None,None
Tulane,Tulane University,Sidearm,None,None
Charlotte,UNC Charlotte,Sidearm,https://charlotte49ers.com/sports/womens-soccer,https://charlotte49ers.com/sports/mens-soccer
East Carolina,East Carolina University,Sidearm,https://ecupirates.com/sports/womens-soccer,None
Tulsa,The University of Tulsa,Sidearm,https://tulsahurricane.com/sports/womens-soccer,https://tulsahurricane.com/sports/mens-soccer
Temple,Temple University,Sidearm,https://owlsports.com/sports/womens-soccer,https://owlsports.com/sports/mens-soccer
Memphis,University of Memphis,Sidearm,https://gotigersgo.com/sports/womens-soccer,https://gotigersgo.com/sports/mens-soccer
North Texas,University of North Texas,Sidearm,https://meangreensports.com/sports/womens-soccer,None
Rice,Rice University,Sidearm,https://riceowls.com/sports/womens-soccer,None
SMU,Southern Methodist University,Sidearm,https://smumustangs.com/sports/womens-soccer,https://smumustangs.com/sports/mens-soccer
Texas at San Antonio,University of Texas at San Antonio,WMT,https://goutsa.com/sports/soccer,None
Loyola (IL),Loyola University Chicago,Sidearm,https://loyolaramblers.com/sports/womens-soccer,https://loyolaramblers.com/sports/mens-soccer
Mass-Amherst,University of Massachusetts,Sidearm,https://umassathletics.com/sports/womens-soccer,https://umassathletics.com/sports/mens-soccer
St. Louis,Saint Louis University,Sidearm,https://slubillikens.com/sports/womens-soccer,https://slubillikens.com/sports/mens-soccer
Fordham,Fordham University,Sidearm,https://fordhamsports.com/sports/womens-soccer,https://fordhamsports.com/sports/mens-soccer
St. Bonaventure,St. Bonaventure University,Sidearm,https://gobonnies.com/sports/womens-soccer,https://gobonnies.com/sports/mens-soccer
Davidson,Davidson College,Sidearm,https://davidsonwildcats.com/sports/womens-soccer,https://davidsonwildcats.com/sports/mens-soccer
Dayton,University of Dayton,Sidearm,https://daytonflyers.com/sports/womens-soccer,https://daytonflyers.com/sports/mens-soccer
Duquesne,Duquesne University,Sidearm,https://goduquesne.com/sports/womens-soccer,https://goduquesne.com/sports/mens-soccer
La Salle,La Salle University,Sidearm,https://goexplorers.com/sports/womens-soccer,https://goexplorers.com/sports/mens-soccer
Saint Joseph's,Saint Joseph's University,Sidearm,https://sjuhawks.com/sports/womens-soccer,https://sjuhawks.com/sports/mens-soccer
Rhode Island,University of Rhode Island,Sidearm,https://gorhody.com/sports/womens-soccer,https://gorhody.com/sports/mens-soccer
George Washington,George Washington University,Sidearm,https://gwsports.com/sports/womens-soccer,https://gwsports.com/sports/mens-soccer
George Mason,George Mason University,Sidearm,https://gomason.com/sports/womens-soccer,https://gomason.com/sports/mens-soccer
Richmond,University of Richmond,Sidearm,https://richmondspiders.com/sports/womens-soccer,None
VCU,Virginia Commonwealth University,Sidearm,https://vcuathletics.com/sports/womens-soccer,https://vcuathletics.com/sports/mens-soccer
Florida St.,Florida State University,Sidearm,https://seminoles.com/sports/womens-soccer,None
Miami (Fla.),University of Miami,WMT,https://miamihurricanes.com/sports/soc/,None
Georgia Tech,Georgia Tech,WMT,None,None
Notre Dame,University of Notre Dame,WMT,https://fightingirish.com/sports/wsoc/,https://fightingirish.com/sports/msoc/
Louisville,University of Louisville,Sidearm,https://gocards.com/sports/womens-soccer,https://gocards.com/sports/mens-soccer
Boston College,Boston College,Sidearm,https://bceagles.com/sports/womens-soccer,https://bceagles.com/sports/mens-soccer
Syracuse,Syracuse University,Sidearm,https://cuse.com/sports/womens-soccer,https://cuse.com/sports/mens-soccer
Duke,Duke University,Sidearm,https://goduke.com/sports/womens-soccer,https://goduke.com/sports/mens-soccer
North Carolina,University of North Carolina,Sidearm,https://goheels.com/sports/womens-soccer,https://goheels.com/sports/mens-soccer
North Carolina St.,North Carolina State University,Sidearm,https://gopack.com/sports/womens-soccer,https://gopack.com/sports/mens-soccer
Wake Forest,Wake Forest University,Sidearm,https://godeacs.com/sports/womens-soccer,https://godeacs.com/sports/mens-soccer
Pittsburgh,University of Pittsburgh,Sidearm,https://pittsburghpanthers.com/sports/womens-soccer,https://pittsburghpanthers.com/sports/mens-soccer
Clemson,Clemson University,WMT,https://clemsontigers.com/sports/womens-soccer/,https://clemsontigers.com/sports/mens-soccer/
Virginia,University of Virginia,WMT,https://virginiasports.com/sports/wsoc/,https://virginiasports.com/sports/msoc/
Virginia Tech,Virginia Tech,Sidearm,https://hokiesports.com/sports/womens-soccer,https://hokiesports.com/sports/mens-soccer
North Ala.,University of North Alabama,Sidearm,https://roarlions.com/sports/womens-soccer,None
Central Ark.,University of Central Arkansas,Sidearm,https://ucasports.com/sports/womens-soccer,https://ucasports.com/sports/mens-soccer
FGCU,Florida Gulf Coast University,Sidearm,https://fgcuathletics.com/sports/womens-soccer,https://fgcuathletics.com/sports/mens-soccer
Jacksonville,Jacksonville University,Sidearm,https://judolphins.com/sports/womens-soccer,https://judolphins.com/sports/mens-soccer
North Florida,University of North Florida,Sidearm,https://unfospreys.com/sports/womens-soccer,https://unfospreys.com/sports/mens-soccer
Stetson,Stetson University,Sidearm,https://gohatters.com/sports/womens-soccer,https://gohatters.com/sports/mens-soccer
Kennesaw St.,Kennesaw State University,Sidearm,https://ksuowls.com/sports/womens-soccer,None
Bellarmine,Bellarmine University,Sidearm,https://athletics.bellarmine.edu/sports/womens-soccer,https://athletics.bellarmine.edu/sports/mens-soccer
Eastern Ky.,Eastern Kentucky University,Sidearm,https://ekusports.com/sports/womens-soccer,None
Queens (NC),Queens University of Charlotte,Sidearm,https://queensathletics.com/sports/womens-soccer,https://queensathletics.com/sports/mens-soccer
Austin Peay,Austin Peay State University,Sidearm,https://letsgopeay.com/sports/womens-soccer,None
Lipscomb,Lipscomb University,Sidearm,https://lipscombsports.com/sports/womens-soccer,https://lipscombsports.com/sports/msoc
UCF,University of Central Florida,WMT,https://ucfknights.com/sports/womens-soccer,https://ucfknights.com/sports/mens-soccer
Iowa St.,Iowa State University,Sidearm,https://cyclones.com/sports/womens-soccer,None
Kansas,University of Kansas,WMT,https://kuathletics.com/sports/wsoc/,None
Kansas St.,Kansas State University,Sidearm,https://www.kstatesports.com/sports/womens-soccer,None
Cincinnati,University of Cincinnati,Sidearm,https://gobearcats.com/sports/womens-soccer,None
Oklahoma,University of Oklahoma,Sidearm,https://soonersports.com/sports/soccer,None
Oklahoma St.,Oklahoma State University,Sidearm,https://okstate.com/sports/womens-soccer,None
Baylor,Baylor University,Sidearm,https://baylorbears.com/sports/womens-soccer,None
Houston,University of Houston,Sidearm,https://uhcougars.com/sports/womens-soccer,None
TCU,Texas Christian University,Sidearm,https://gofrogs.com/sports/womens-soccer,None
Texas,University of Texas,Sidearm,https://texassports.com/sports/womens-soccer,None
Texas Tech,Texas Tech University,Sidearm,https://texastech.com/sports/womens-soccer,None
BYU,Brigham Young University,WMT,https://byucougars.com/sports/womens-soccer,None
West Virginia,West Virginia University,Sidearm,https://wvusports.com/sports/womens-soccer,https://wvusports.com/sports/mens-soccer
Connecticut,University of Connecticut,Sidearm,https://uconnhuskies.com/sports/womens-soccer,https://uconnhuskies.com/sports/mens-soccer
Butler,Butler University,Sidearm,https://butlersports.com/sports/womens-soccer,https://butlersports.com/sports/mens-soccer
Creighton,Creighton University,Sidearm,https://gocreighton.com/sports/womens-soccer,https://gocreighton.com/sports/mens-soccer
Seton Hall,Seton Hall University,Sidearm,https://shupirates.com/sports/womens-soccer,https://shupirates.com/sports/mens-soccer
St. John's (NY),St. John's University (N.Y.),Sidearm,https://redstormsports.com/sports/womens-soccer,https://redstormsports.com/sports/mens-soccer
Xavier,Xavier University,Sidearm,https://goxavier.com/sports/womens-soccer,https://goxavier.com/sports/mens-soccer
Villanova,Villanova University,Sidearm,https://villanova.com/sports/womens-soccer,https://villanova.com/sports/mens-soccer
Providence,Providence College,Sidearm,https://friars.com/sports/womens-soccer,https://friars.com/sports/mens-soccer
Georgetown,Georgetown University,Sidearm,https://guhoyas.com/sports/womens-soccer,https://guhoyas.com/sports/mens-soccer
